CRUD_privileges,data_group,description,end_timestamp,location,metric,print_str,short_hand,site,start_timestamp,statistic,unit_str
,ml/novelty-detection/fleetwide,mdl of Accelerations measured using NRT_A02_OOD_ACC_FA,3000-01-01T00:00:00Z,NRTA02,mdl_NRT_A02_OOD_ACC_FA,OOD ACC FA,OOD_ACC_FA,norther,2000-01-01T00:00:00Z,mdl,
,acceleration,rms of accelerations measured at NRT_A02_NAC_ACC_FA,3000-01-01T00:00:00Z,NRTA02,rms_NRT_A02_NAC_ACC_FA,NAC ACC FA,NAC_ACC_FA,Norther,2000-01-01T00:00:00Z,rms,g
,scada,,3000-01-01T00:00:00Z,NRTA02,std_NRT_A02_rpm,Rotor speed,rpm,Norther,2000-01-01T00:00:00Z,std,
,ml/novelty-detection/fleetwide,mdl of Accelerations measured using NRT_A02_OOD_ACC_Z,3000-01-01T00:00:00Z,NRTA02,mdl_NRT_A02_OOD_ACC_Z,OOD ACC Z,OOD_ACC_Z,norther,2000-01-01T00:00:00Z,mdl,
,mpe,Modal parameter results for NRT_A02_FA,3000-01-01T00:00:00Z,NRTA02,mpe_NRT_A02_FA,FA,FA,Norther,2000-01-01T00:00:00Z,mpe,
,acceleration,max of accelerations measured at NRT_A02_NAC_ACC_Z,3000-01-01T00:00:00Z,NRTA02,max_NRT_A02_NAC_ACC_Z,NAC ACC Z,NAC_ACC_Z,Norther,2000-01-01T00:00:00Z,max,g
,scada,,3000-01-01T00:00:00Z,NRTA02,min_NRT_A02_pitch,Pitch,pitch,Norther,2000-01-01T00:00:00Z,min,°
,scada,,3000-01-01T00:00:00Z,NRTA02,max_NRT_A02_yaw,Yaw,yaw,Norther,2000-01-01T00:00:00Z,max,°
,scada,,3000-01-01T00:00:00Z,NRTA02,mean_NRT_A02_rpm,Rotor speed,rpm,Norther,2000-01-01T00:00:00Z,mean,
,scada,,3000-01-01T00:00:00Z,NRTA02,max_NRT_A02_rpm,Rotor speed,rpm,Norther,2000-01-01T00:00:00Z,max,
,acceleration,std of accelerations measured at NRT_A02_NAC_ACC_Z,3000-01-01T00:00:00Z,NRTA02,std_NRT_A02_NAC_ACC_Z,NAC ACC Z,NAC_ACC_Z,Norther,2000-01-01T00:00:00Z,std,g
,scada,,3000-01-01T00:00:00Z,NRTA02,mean_NRT_A02_pitch,Pitch,pitch,Norther,2000-01-01T00:00:00Z,mean,°
,scada,,3000-01-01T00:00:00Z,NRTA02,min_NRT_A02_power,Power,power,Norther,2000-01-01T00:00:00Z,min,kW
,mpe,Modal parameter results for NRT_A02_SS1,3000-01-01T00:00:00Z,NRTA02,mpe_NRT_A02_SS1,SS1,SS1,Norther,2000-01-01T00:00:00Z,mpe,
,acceleration,std of accelerations measured at NRT_A02_NAC_ACC_FA,3000-01-01T00:00:00Z,NRTA02,std_NRT_A02_NAC_ACC_FA,NAC ACC FA,NAC_ACC_FA,Norther,2000-01-01T00:00:00Z,std,g
,mpe,Modal parameter results for NRT_A02_SS,3000-01-01T00:00:00Z,NRTA02,mpe_NRT_A02_SS,SS,SS,Norther,2000-01-01T00:00:00Z,mpe,
,scada,,3000-01-01T00:00:00Z,NRTA02,std_NRT_A02_yaw,Yaw,yaw,Norther,2000-01-01T00:00:00Z,std,°
,scada,,3000-01-01T00:00:00Z,NRTA02,min_NRT_A02_windspeed,Wind speed,windspeed,Norther,2000-01-01T00:00:00Z,min,m/s
,scada,,3000-01-01T00:00:00Z,NRTA02,min_NRT_A02_winddirection,Wind direction,winddirection,Norther,2000-01-01T00:00:00Z,min,°
,scada,,3000-01-01T00:00:00Z,NRTA02,std_NRT_A02_power,Power,power,Norther,2000-01-01T00:00:00Z,std,kW
,acceleration,min of accelerations measured at NRT_A02_NAC_ACC_Z,3000-01-01T00:00:00Z,NRTA02,min_NRT_A02_NAC_ACC_Z,NAC ACC Z,NAC_ACC_Z,Norther,2000-01-01T00:00:00Z,min,g
,acceleration,rms of accelerations measured at NRT_A02_NAC_ACC_Z,3000-01-01T00:00:00Z,NRTA02,rms_NRT_A02_NAC_ACC_Z,NAC ACC Z,NAC_ACC_Z,Norther,2000-01-01T00:00:00Z,rms,g
,acceleration,max of accelerations measured at NRT_A02_NAC_ACC_SS,3000-01-01T00:00:00Z,NRTA02,max_NRT_A02_NAC_ACC_SS,NAC ACC SS,NAC_ACC_SS,Norther,2000-01-01T00:00:00Z,max,g
,scada,,3000-01-01T00:00:00Z,NRTA02,mean_NRT_A02_yaw,Yaw,yaw,Norther,2000-01-01T00:00:00Z,mean,°
,acceleration,mean of accelerations measured at _NRT_A02_NAC_ACC_Z,3000-01-01T00:00:00Z,NRTA02,mean_NRT_A02_NAC_ACC_Z,NAC ACC Z,NAC_ACC_Z,Norther,2000-01-01T00:00:00Z,mean,g
,acceleration,rms1p of accelerations measured at p_NRT_A02_NAC_ACC_Z,3000-01-01T00:00:00Z,NRTA02,rms1p_NRT_A02_NAC_ACC_Z,NAC ACC Z,NAC_ACC_Z,Norther,2000-01-01T00:00:00Z,rms1p,g
,scada,,3000-01-01T00:00:00Z,NRTA02,std_NRT_A02_pitch,Pitch,pitch,Norther,2000-01-01T00:00:00Z,std,°
,acceleration,min of accelerations measured at NRT_A02_NAC_ACC_FA,3000-01-01T00:00:00Z,NRTA02,min_NRT_A02_NAC_ACC_FA,NAC ACC FA,NAC_ACC_FA,Norther,2000-01-01T00:00:00Z,min,g
,scada,,3000-01-01T00:00:00Z,NRTA02,min_NRT_A02_yaw,Yaw,yaw,Norther,2000-01-01T00:00:00Z,min,°
,ml/novelty-detection/fleetwide,mdl of Accelerations measured using NRT_A02_autoencoder_ACC_SS,3000-01-01T00:00:00Z,NRTA02,mdl_NRT_A02_autoencoder_ACC_SS,autoencoder ACC SS,autoencoder_ACC_SS,norther,2000-01-01T00:00:00Z,mdl,
,ml/novelty-detection/fleetwide,mdl of Accelerations measured using NRT_A02_OOD_ACC_SS,3000-01-01T00:00:00Z,NRTA02,mdl_NRT_A02_OOD_ACC_SS,OOD ACC SS,OOD_ACC_SS,norther,2000-01-01T00:00:00Z,mdl,
,ml/novelty-detection/fleetwide,mdl of Accelerations measured using NRT_A02_autoencoder_ACC_Z,3000-01-01T00:00:00Z,NRTA02,mdl_NRT_A02_autoencoder_ACC_Z,autoencoder ACC Z,autoencoder_ACC_Z,norther,2000-01-01T00:00:00Z,mdl,
,acceleration,rms of accelerations measured at NRT_A02_NAC_ACC_SS,3000-01-01T00:00:00Z,NRTA02,rms_NRT_A02_NAC_ACC_SS,NAC ACC SS,NAC_ACC_SS,Norther,2000-01-01T00:00:00Z,rms,g
,scada,,3000-01-01T00:00:00Z,NRTA02,mean_NRT_A02_power,Power,power,Norther,2000-01-01T00:00:00Z,mean,kW
